,SOC1,SOC2,SOC3,SOC4
North East,"436,636","430,496","235,318","32,108"
North West,"1,540,747","1,319,051","713,112","103,302"
Yorkshire and The Humber,"1,040,901","944,221","574,253","74,811"
East Midlands,"907,711","801,280","535,470","67,033"
West Midlands,"1,134,678","993,444","617,203","81,119"
East of England,"1,286,977","1,057,862","582,740","85,884"
London,"3,214,502","1,590,017","911,547","168,898"
South East,"2,165,658","1,531,851","717,016","133,250"
South West,"1,176,530","1,012,439","499,161","82,852"
Scotland,"1,109,043","1,007,770","526,158","77,534"
Wales,"532,660","538,969","278,291","40,031"
TOTAL,"14,546,042","11,227,398","6,190,270","946,822"
