lad2021+scotlandlad_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"225,207","478,958","328,543","152,513","1,660"
North West,"650,237","1,188,366","879,323","463,418","10,098"
Yorkshire and The Humber,"547,051","896,461","596,979","311,361","6,152"
East Midlands,"730,025","744,749","384,071","206,276","10,404"
West Midlands,"649,548","945,744","526,380","336,160","10,825"
East of England,"845,497","850,345","560,991","399,119","16,799"
London,"238,149","703,672","803,025","1,737,898","3,767"
South East,"1,164,926","1,128,857","817,192","731,312","25,705"
South West,"797,746","717,754","546,475","411,756","19,828"
Scotland,"604,996","941,179","666,132","296,181","8,698"
Wales,"408,636","439,279","356,158","152,115","4,789"
TOTAL,"6,862,019","9,035,365","6,465,269","5,198,108","118,725"
