lad2021+scotlandlad_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"489,918","558,029","138,932"
North West,"1,247,377","1,493,451","450,614"
Yorkshire and The Humber,"894,885","1,144,950","318,169"
East Midlands,"723,347","1,038,954","313,224"
West Midlands,"888,062","1,164,624","415,971"
East of England,"912,240","1,335,322","425,189"
London,"1,220,305","1,505,531","760,676"
South East,"1,292,792","1,965,354","609,845"
South West,"875,372","1,268,994","349,194"
Scotland,"921,084","1,160,521","435,581"
Wales,"523,499","645,537","191,940"
TOTAL,"9,988,882","13,281,267","4,409,336"
