lad2021+scotlandlad_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"338,763","504,232","343,885"
North West,"806,457","1,365,260","1,019,726"
Yorkshire and The Humber,"584,966","1,004,242","768,797"
East Midlands,"404,493","860,983","810,050"
West Midlands,"531,917","1,015,907","920,833"
East of England,"453,461","1,123,479","1,095,810"
London,"1,450,424","1,421,845","614,243"
South East,"654,921","1,597,941","1,615,129"
South West,"423,389","1,054,617","1,015,554"
Scotland,"586,182","1,043,223","887,781"
Wales,"269,357","577,833","513,787"
TOTAL,"6,504,329","11,569,562","9,605,595"
