lad2021+scotlandlad_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"910,486","276,395"
North West,"2,396,248","795,194"
Yorkshire and The Humber,"1,773,986","584,018"
East Midlands,"1,559,502","516,023"
West Midlands,"1,820,992","647,665"
East of England,"1,978,121","694,629"
London,"2,497,349","989,163"
South East,"2,861,783","1,006,208"
South West,"1,924,813","568,747"
Scotland,"1,898,241","618,945"
Wales,"1,036,988","323,989"
TOTAL,"20,658,509","7,020,977"
