lad2021+scotlandlad_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"352,319","314,169","332,961","164,124","23,307"
North West,"1,076,550","885,436","817,839","356,559","55,060"
Yorkshire and The Humber,"767,464","658,866","644,136","243,672","43,866"
East Midlands,"706,213","589,156","558,456","187,076","34,623"
West Midlands,"825,821","695,797","669,482","239,147","38,410"
East of England,"1,047,420","795,368","591,183","210,738","28,042"
London,"1,601,815","910,525","598,639","303,107","72,426"
South East,"1,687,217","1,132,179","736,046","268,622","43,926"
South West,"952,826","756,135","568,592","183,229","32,779"
Scotland,"838,155","710,826","654,457","271,504","42,243"
Wales,"440,515","397,060","363,266","137,323","22,813"
TOTAL,"10,296,314","7,845,519","6,535,057","2,565,100","437,495"
