lad2021+scotlandlad_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"586,006","1,133,392","767,688","222,035","2,260"
North West,"1,693,662","3,041,324","2,192,458","658,746","13,935"
Yorkshire and The Humber,"1,373,298","2,257,378","1,507,602","447,198","8,649"
East Midlands,"1,783,191","1,903,222","972,575","317,730","14,547"
West Midlands,"1,653,335","2,504,102","1,388,903","524,077","15,269"
East of England,"2,093,805","2,242,117","1,437,181","671,468","24,094"
London,"729,490","2,182,249","2,297,225","3,728,038","8,307"
South East,"2,955,466","3,081,936","2,165,471","1,241,692","37,942"
South West,"1,885,567","1,867,081","1,369,490","661,008","28,113"
Scotland,"1,419,281","2,128,498","1,466,187","414,176","11,913"
Wales,"980,782","1,095,562","863,190","218,069","6,801"
TOTAL,"17,153,882","23,436,860","16,427,970","9,104,238","171,831"
