lad2021+scotlandlad_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"610,841","1,394,893","705,646"
North West,"1,551,566","3,833,543","2,215,016"
Yorkshire and The Humber,"1,109,892","2,917,931","1,566,302"
East Midlands,"889,214","2,644,991","1,457,060"
West Midlands,"1,118,490","3,022,838","1,944,358"
East of England,"1,118,961","3,462,207","1,887,497"
London,"1,525,275","3,967,375","3,452,658"
South East,"1,577,429","5,097,352","2,807,726"
South West,"1,046,079","3,181,276","1,583,904"
Scotland,"1,109,144","2,866,900","1,464,011"
Wales,"650,693","1,618,891","894,821"
TOTAL,"12,307,584","34,008,197","19,979,001"
