lad2021+scotlandlad_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"581,243","1,043,972","1,086,166"
North West,"1,434,528","2,894,425","3,271,173"
Yorkshire and The Humber,"1,028,203","2,131,791","2,434,130"
East Midlands,"717,786","1,771,492","2,501,987"
West Midlands,"981,030","2,177,382","2,927,276"
East of England,"770,998","2,313,970","3,383,697"
London,"3,044,609","3,731,886","2,168,814"
South East,"1,140,763","3,312,613","5,029,131"
South West,"693,690","2,068,749","3,048,820"
Scotland,"942,920","2,024,507","2,472,628"
Wales,"449,950","1,130,986","1,583,468"
TOTAL,"11,785,720","24,601,773","29,907,289"
