lad2021+scotlandlad_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,661,231","1,050,149"
North West,"4,440,785","3,159,341"
Yorkshire and The Humber,"3,280,378","2,313,747"
East Midlands,"2,952,652","2,038,613"
West Midlands,"3,450,485","2,635,202"
East of England,"3,740,624","2,728,041"
London,"4,933,689","4,011,620"
South East,"5,500,943","3,981,564"
South West,"3,610,573","2,200,686"
Scotland,"3,322,901","2,117,154"
Wales,"1,929,237","1,235,167"
TOTAL,"38,823,498","27,471,284"
