lad2021+scotlandlad_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"852,809","754,254","745,331","288,386","70,601"
North West,"2,663,777","2,213,241","1,920,755","645,043","157,311"
Yorkshire and The Humber,"1,879,378","1,637,798","1,503,497","447,868","125,584"
East Midlands,"1,744,101","1,451,995","1,350,342","329,921","114,906"
West Midlands,"2,076,439","1,786,330","1,646,835","463,937","112,146"
East of England,"2,640,829","1,982,983","1,397,709","365,355","81,790"
London,"3,941,305","2,539,670","1,663,484","618,945","181,905"
South East,"4,275,899","2,836,023","1,762,252","468,152","140,181"
South West,"2,301,925","1,804,564","1,293,654","303,753","107,362"
Scotland,"1,913,657","1,596,329","1,378,627","458,583","92,858"
Wales,"1,059,787","959,218","829,981","242,288","73,129"
TOTAL,"25,349,907","19,562,405","15,492,466","4,632,231","1,257,773"
