lad2021+scotlandlad_id,Other,Economically active employed,Economically active unemployed,Economically inactive
North East,"474,046","1,219,467","56,954","960,913"
North West,"1,419,622","3,543,141","166,437","2,470,926"
Yorkshire and The Humber,"1,033,329","2,605,864","81,673","1,873,259"
East Midlands,"901,113","2,409,423","104,959","1,575,770"
West Midlands,"1,176,804","2,871,247","115,225","1,922,411"
East of England,"1,216,431","3,115,347","111,833","2,025,054"
London,"1,690,386","4,695,103","258,992","2,300,828"
South East,"1,762,090","4,786,738","161,865","2,771,814"
South West,"974,529","2,866,928","66,280","1,903,522"
Scotland,"891,187","2,664,773","95,971","1,788,124"
Wales,"548,515","1,454,608","47,128","1,114,153"
TOTAL,"12,088,052","32,232,640","1,267,315","20,706,774"
