lad2021+scotlandlad_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"432,189","804,757","561,231","172,902","1,627"
North West,"1,220,894","2,150,661","1,589,537","519,867","9,062"
Yorkshire and The Humber,"998,168","1,590,242","1,101,259","343,067","5,884"
East Midlands,"1,292,549","1,350,677","712,562","241,757","9,655"
West Midlands,"1,193,124","1,755,626","997,817","380,585","9,161"
East of England,"1,500,870","1,573,481","1,028,331","482,135","14,539"
London,"526,103","1,608,473","1,719,032","2,894,113","5,794"
South East,"2,108,061","2,186,109","1,561,153","888,317","23,102"
South West,"1,347,970","1,315,877","1,002,341","484,460","16,629"
Scotland,"1,049,252","1,543,154","1,096,693","324,416","7,879"
Wales,"716,076","771,687","629,134","163,403","4,566"
TOTAL,"12,385,256","16,650,744","11,999,091","6,895,022","107,898"
