lad2021+scotlandlad_id,16 to 19 years,20 to 34 years,35 to 49 years,50 to 64 years,65 to 74 years
North East,"126,518","508,496","488,011","550,530","299,151"
North West,"363,831","1,479,249","1,421,831","1,483,156","741,955"
Yorkshire and The Humber,"271,902","1,085,036","1,033,199","1,093,425","555,059"
East Midlands,"238,571","938,540","926,434","999,089","504,566"
West Midlands,"297,021","1,156,758","1,138,374","1,165,598","578,562"
East of England,"285,138","1,147,944","1,262,088","1,268,443","635,743"
London,"413,904","2,238,287","1,986,625","1,525,510","589,188"
South East,"439,223","1,660,328","1,870,663","1,875,445","921,084"
South West,"262,778","1,032,382","1,040,436","1,182,045","649,637"
Scotland,"118,147","1,158,805","1,009,749","1,171,649","563,043"
Wales,"146,875","583,091","559,364","644,215","351,322"
TOTAL,"2,963,907","12,988,915","12,736,773","12,959,105","6,389,310"
