lad2021+scotlandlad_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,398,736","573,970"
North West,"3,760,112","1,729,910"
Yorkshire and The Humber,"2,765,276","1,273,345"
East Midlands,"2,476,377","1,130,823"
West Midlands,"2,889,458","1,446,855"
East of England,"3,096,700","1,502,656"
London,"4,456,084","2,297,430"
South East,"4,562,654","2,204,088"
South West,"2,949,126","1,218,151"
Scotland,"2,801,728","1,219,665"
Wales,"1,602,222","682,644"
TOTAL,"32,758,473","15,279,538"
