lad2021+scotlandlad_id,Economically active employment,Economically active unemployed,Economically active student employment,Economically active student unemployed,Economically inactive student,Economically inactive
North East,"1,172,688","45,070","46,779","11,884","112,639","583,645"
North West,"3,416,608","129,750","126,533","36,687","316,047","1,464,397"
Yorkshire and The Humber,"2,514,047","66,777","91,817","14,896","257,176","1,093,908"
East Midlands,"2,325,965","80,256","83,458","24,702","197,681","895,137"
West Midlands,"2,766,431","95,305","104,816","19,920","257,635","1,092,206"
East of England,"3,028,583","96,751","86,764","15,081","236,303","1,135,873"
London,"4,537,771","207,885","157,332","51,107","479,026","1,320,393"
South East,"4,630,667","129,131","156,071","32,734","329,072","1,489,067"
South West,"2,771,240","52,413","95,688","13,866","212,315","1,021,754"
Scotland,"2,594,174","81,666","70,599","14,305","149,078","1,111,572"
Wales,"1,400,547","39,451","54,061","7,677","135,357","647,773"
TOTAL,"31,158,722","1,024,457","1,073,918","242,858","2,682,329","11,855,725"
