lad2021+scotlandlad_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"612,846","549,878","535,599","213,943","60,440"
North West,"1,901,838","1,592,591","1,379,985","485,561","130,048"
Yorkshire and The Humber,"1,343,211","1,180,880","1,076,505","330,139","107,886"
East Midlands,"1,241,428","1,046,548","969,862","248,635","100,727"
West Midlands,"1,468,902","1,275,382","1,170,954","333,145","87,930"
East of England,"1,856,316","1,412,407","992,456","272,529","65,649"
London,"2,992,217","1,903,286","1,243,002","471,950","143,058"
South East,"3,009,108","2,031,613","1,259,181","345,842","120,998"
South West,"1,629,587","1,292,931","922,324","227,312","95,123"
Scotland,"1,401,013","1,179,793","1,013,038","350,330","77,219"
Wales,"756,725","695,123","594,939","179,269","58,811"
TOTAL,"18,213,190","14,160,431","11,157,845","3,458,655","1,047,889"
