lad2021+scotlandlad_id,SOC1,SOC2,SOC3,SOC4
North East,"494,433","491,141","233,893","753,239"
North West,"1,562,581","1,327,455","653,106","1,946,881"
Yorkshire and The Humber,"1,095,376","982,145","528,343","1,432,757"
East Midlands,"1,001,620","880,874","526,929","1,197,777"
West Midlands,"1,211,996","1,057,711","601,540","1,465,066"
East of England,"1,479,605","1,117,174","518,569","1,484,009"
London,"2,669,287","1,382,376","643,440","2,058,411"
South East,"2,433,638","1,671,460","681,640","1,980,004"
South West,"1,296,095","1,096,552","474,282","1,300,349"
Scotland,"1,176,288","1,005,163","483,321","1,356,620"
Wales,"594,279","591,743","268,586","830,258"
TOTAL,"15,015,198","11,603,794","5,613,649","15,805,370"
