,SOC1,SOC2,SOC3,SOC4
North East,"493,331","419,919","232,258","33,362"
North West,"1,775,430","1,339,710","728,302","111,123"
Yorkshire and The Humber,"1,207,461","957,304","570,992","79,967"
East Midlands,"1,084,746","837,737","563,505","74,247"
West Midlands,"1,358,698","1,030,945","660,006","90,111"
East of England,"1,499,776","1,083,084","602,725","93,453"
London,"3,667,733","1,651,863","962,342","185,619"
South East,"2,467,984","1,549,383","733,079","143,389"
South West,"1,383,734","1,051,904","521,990","91,159"
Scotland,"1,245,016","983,003","487,337","79,658"
Wales,"619,284","541,592","277,215","42,645"
TOTAL,"16,803,191","11,446,444","6,339,753","1,024,732"
