rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"269,598","526,881","346,029","157,736","1,617"
North West,"814,097","1,357,263","947,838","478,312","9,586"
Yorkshire and The Humber,"675,742","1,005,938","638,701","322,490","6,034"
East Midlands,"931,535","858,165","421,340","216,506","10,486"
West Midlands,"848,453","1,108,837","585,839","342,758","10,214"
East of England,"1,059,120","973,707","614,724","404,991","16,611"
London,"293,168","830,118","923,083","1,940,696","4,246"
South East,"1,457,169","1,290,272","888,947","744,295","25,487"
South West,"1,035,103","842,904","611,687","433,215","19,523"
Scotland,"749,569","1,038,927","668,658","273,242","8,140"
Wales,"502,803","481,120","373,531","148,619","4,254"
TOTAL,"8,636,357","10,314,132","7,020,378","5,462,860","116,199"
