rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"481,221","637,113","162,587"
North West,"1,211,689","1,758,600","546,429"
Yorkshire and The Humber,"874,288","1,335,039","379,134"
East Midlands,"709,998","1,259,810","391,477"
West Midlands,"848,112","1,424,091","526,536"
East of England,"875,726","1,587,367","516,970"
London,"1,308,157","1,696,639","880,495"
South East,"1,227,637","2,323,671","735,483"
South West,"849,731","1,556,948","438,930"
Scotland,"865,649","1,337,208","499,914"
Wales,"482,880","761,381","236,458"
TOTAL,"9,735,087","15,677,866","5,314,413"
