rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"274,857","528,152","477,912"
North West,"634,192","1,431,288","1,451,239"
Yorkshire and The Humber,"462,864","1,039,721","1,085,875"
East Midlands,"314,876","887,174","1,159,235"
West Midlands,"413,697","1,048,339","1,336,703"
East of England,"310,778","1,116,963","1,552,322"
London,"1,174,549","1,633,352","1,077,390"
South East,"422,175","1,530,020","2,334,596"
South West,"301,528","1,070,160","1,473,920"
Scotland,"334,481","1,162,952","1,205,338"
Wales,"205,978","577,814","696,927"
TOTAL,"4,849,976","12,025,935","13,851,456"
