rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"964,026","293,765"
North West,"2,550,371","875,169"
Yorkshire and The Humber,"1,892,919","633,636"
East Midlands,"1,706,355","576,721"
West Midlands,"1,968,601","734,353"
East of England,"2,132,674","761,534"
London,"2,735,635","1,032,849"
South East,"3,074,129","1,098,465"
South West,"2,108,530","639,148"
Scotland,"2,002,637","654,158"
Wales,"1,103,389","346,350"
TOTAL,"22,239,266","7,646,147"
