rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"404,002","337,037","332,676","160,226","23,850"
North West,"1,251,636","963,794","816,003","337,327","56,779"
Yorkshire and The Humber,"890,449","714,783","641,072","234,759","45,492"
East Midlands,"838,266","656,162","570,299","181,244","37,105"
West Midlands,"987,369","775,265","676,000","224,251","40,069"
East of England,"1,215,673","867,596","587,604","194,892","28,443"
London,"1,785,277","974,827","615,371","316,299","76,711"
South East,"1,935,135","1,222,868","722,473","246,587","45,531"
South West,"1,130,296","842,411","570,478","169,791","34,701"
Scotland,"985,196","767,248","623,384","240,941","40,026"
Wales,"513,726","432,603","354,759","125,684","22,968"
TOTAL,"11,937,026","8,554,592","6,510,120","2,432,002","451,674"
