,rgn2021+scotlandrgn_id,2033,2038,2043,2048,2053
0,North East,"1,257,791","1,280,920","1,301,861","1,334,410","1,358,412"
1,North West,"3,425,539","3,516,718","3,607,097","3,695,433","3,766,253"
2,Yorkshire and The Humber,"2,526,555","2,588,461","2,648,905","2,713,901","2,764,682"
3,East Midlands,"2,283,076","2,361,285","2,438,032","2,498,941","2,546,084"
4,West Midlands,"2,702,954","2,798,739","2,896,102","2,970,071","3,030,088"
5,East of England,"2,894,208","2,980,063","3,069,153","3,153,196","3,220,388"
6,London,"3,768,484","3,885,291","3,991,310","4,071,757","4,143,447"
7,South East,"4,172,594","4,286,791","4,406,170","4,529,233","4,628,205"
8,South West,"2,747,678","2,845,609","2,942,432","3,026,652","3,090,567"
9,Scotland,"2,656,795","2,702,770","2,738,537","2,759,496","2,766,680"
10,Wales,"1,449,739","1,480,719","1,510,327","1,536,237","1,553,077"
