rgn2021+scotlandrgn_id,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
North East,"646,760","1,232,531","821,172","251,015","2,634"
North West,"1,945,014","3,411,218","2,407,118","769,005","17,140"
Yorkshire and The Humber,"1,575,832","2,506,722","1,643,601","517,349","10,422"
East Midlands,"2,139,348","2,193,241","1,102,325","377,746","18,546"
West Midlands,"1,976,295","2,896,419","1,587,246","620,762","19,376"
East of England,"2,436,618","2,518,756","1,595,273","770,793","30,020"
London,"833,710","2,466,377","2,595,117","4,220,522","9,413"
South East,"3,406,417","3,414,197","2,367,108","1,422,175","47,239"
South West,"2,258,370","2,140,999","1,559,187","788,628","36,327"
Scotland,"1,536,445","2,230,935","1,493,955","460,278","14,267"
Wales,"1,097,590","1,176,053","917,664","246,865","7,938"
TOTAL,"19,852,397","26,187,447","18,089,766","10,445,137","213,320"
