rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"643,922","1,461,017","727,034"
North West,"1,655,015","4,077,683","2,328,219"
Yorkshire and The Humber,"1,183,262","3,096,553","1,636,586"
East Midlands,"976,378","2,879,734","1,564,481"
West Midlands,"1,215,034","3,278,350","2,087,121"
East of England,"1,207,116","3,697,723","1,994,634"
London,"1,639,191","4,222,204","3,652,849"
South East,"1,697,448","5,414,786","2,947,440"
South West,"1,149,985","3,456,462","1,695,599"
Scotland,"1,167,073","2,980,325","1,491,953"
Wales,"685,903","1,697,472","930,266"
TOTAL,"13,220,327","36,262,308","21,056,182"
