rgn2021+scotlandrgn_id,aged 15 years and under,aged 16 to 74 years,aged 75 and over
North East,"468,257","2,067,932","417,924"
North West,"1,468,525","6,020,443","1,060,525"
Yorkshire and The Humber,"1,056,897","4,388,732","808,298"
East Midlands,"955,579","4,093,814","781,813"
West Midlands,"1,274,744","4,953,990","871,364"
East of England,"1,229,522","5,105,982","1,015,956"
London,"1,647,044","7,595,241","882,854"
South East,"1,752,943","7,394,856","1,509,335"
South West,"1,023,577","4,683,668","1,076,265"
Scotland,"813,091","4,058,822","863,966"
Wales,"510,097","2,441,017","494,996"
TOTAL,"12,200,276","52,804,498","9,783,294"
