rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"470,127","1,018,537","1,406,573"
North West,"1,124,853","2,859,480","4,403,105"
Yorkshire and The Humber,"829,252","2,066,405","3,237,911"
East Midlands,"570,222","1,754,390","3,392,640"
West Midlands,"785,137","2,157,024","4,023,832"
East of England,"529,561","2,137,071","4,539,623"
London,"2,290,988","3,710,975","3,952,382"
South East,"700,970","2,865,824","6,877,730"
South West,"500,654","2,002,952","4,138,033"
Scotland,"536,877","2,114,195","3,069,326"
Wales,"357,712","1,105,219","1,942,198"
TOTAL,"8,696,351","23,792,070","40,983,352"
