rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,876,539","1,077,574"
North West,"5,160,145","3,389,348"
Yorkshire and The Humber,"3,795,083","2,458,844"
East Midlands,"3,575,601","2,255,605"
West Midlands,"4,148,260","2,951,837"
East of England,"4,430,064","2,921,397"
London,"5,866,725","4,258,413"
South East,"6,454,214","4,202,921"
South West,"4,368,309","2,415,201"
Scotland,"3,672,360","2,063,519"
Wales,"2,196,130","1,249,980"
TOTAL,"45,543,430","29,244,638"
