rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"972,510","801,765","786,711","318,677","74,448"
North West,"3,120,156","2,434,015","2,090,682","732,265","172,376"
Yorkshire and The Humber,"2,207,261","1,790,938","1,613,891","505,280","136,556"
East Midlands,"2,127,968","1,659,656","1,522,017","391,570","129,995"
West Midlands,"2,534,400","2,033,097","1,860,232","544,484","127,885"
East of England,"3,102,500","2,199,987","1,534,742","423,420","90,811"
London,"4,600,225","2,804,374","1,812,596","704,878","203,065"
South East,"4,942,583","3,112,601","1,909,779","538,330","153,843"
South West,"2,780,921","2,060,337","1,459,175","361,192","121,885"
Scotland,"2,124,369","1,641,681","1,383,403","492,317","94,108"
Wales,"1,210,872","1,020,665","869,722","267,491","77,360"
TOTAL,"29,723,765","21,559,116","16,842,952","5,279,904","1,382,332"
