rgn2021+scotlandrgn_id,full_time,part_time,unemployed,students,non-working_age
North East,"963,518","303,931","665,398","117,058","815,118"
North West,"2,989,112","823,895","1,753,159","340,008","2,320,890"
Yorkshire and The Humber,"2,121,453","664,635","1,256,275","274,959","1,710,136"
East Midlands,"2,018,567","652,210","1,106,224","218,810","1,577,644"
West Midlands,"2,502,142","688,994","1,340,058","286,184","1,960,136"
East of England,"2,643,253","748,751","1,355,900","257,043","2,048,948"
London,"4,157,457","1,006,350","1,728,556","525,526","2,326,758"
South East,"3,965,456","1,188,106","1,774,040","354,367","2,971,034"
South West,"2,359,266","796,964","1,195,468","233,628","1,891,248"
Scotland,"2,114,720","622,557","1,241,094","153,166","1,556,667"
Wales,"1,182,690","367,397","739,837","144,226","927,108"
TOTAL,"27,017,633","7,863,789","14,156,011","2,904,975","20,105,686"
