rgn2021+scotlandrgn_id,Other,Economically active employed,Economically active unemployed,Economically inactive
North East,"455,070","1,271,051","59,390","1,046,462"
North West,"1,403,326","3,774,967","177,328","2,705,294"
Yorkshire and The Humber,"1,010,379","2,765,880","86,678","2,053,463"
East Midlands,"905,605","2,624,616","114,322","1,776,049"
West Midlands,"1,194,568","3,126,160","125,564","2,134,214"
East of England,"1,185,546","3,346,996","120,215","2,246,716"
London,"1,603,888","5,069,762","279,409","2,561,185"
South East,"1,695,324","5,111,796","173,142","3,079,411"
South West,"969,960","3,110,327","71,895","2,149,863"
Scotland,"814,478","2,759,579","99,378","1,965,916"
Wales,"500,696","1,541,920","49,993","1,221,034"
TOTAL,"11,738,840","34,503,055","1,357,314","22,939,607"
