rgn2021+scotlandrgn_id,No adults or 1 adult in household,2 adults in household,3 or more adults in household
North East,"390,762","1,031,827","633,290"
North West,"1,026,130","2,833,433","1,988,538"
Yorkshire and The Humber,"723,097","2,161,613","1,401,553"
East Midlands,"586,531","1,996,770","1,344,314"
West Midlands,"726,661","2,232,202","1,760,954"
East of England,"714,650","2,513,090","1,711,583"
London,"1,109,921","3,051,437","3,124,213"
South East,"997,989","3,688,233","2,537,646"
South West,"676,937","2,377,346","1,465,039"
Scotland,"729,706","2,140,608","1,294,782"
Wales,"413,548","1,198,958","809,022"
TOTAL,"8,095,930","25,225,519","18,070,933"
