rgn2021+scotlandrgn_id,No cars or vans in household,1 car or van in household,2 or more cars or vans in household
North East,"329,286","678,244","1,035,626"
North West,"806,464","1,924,372","3,217,372"
Yorkshire and The Humber,"587,039","1,382,870","2,366,192"
East Midlands,"405,262","1,164,351","2,474,974"
West Midlands,"548,927","1,423,567","2,921,992"
East of England,"366,738","1,395,069","3,282,933"
London,"1,770,534","2,734,571","2,999,092"
South East,"481,739","1,861,413","4,962,965"
South West,"345,632","1,302,688","2,979,154"
Scotland,"379,992","1,426,493","2,270,022"
Wales,"251,920","737,239","1,440,190"
TOTAL,"6,273,533","16,030,876","29,950,512"
