rgn2021+scotlandrgn_id,Household with no children or all children non-dependent,Household with one or more dependent children
North East,"1,444,419","598,736"
North West,"4,065,221","1,882,987"
Yorkshire and The Humber,"2,961,767","1,374,335"
East Midlands,"2,770,888","1,273,699"
West Midlands,"3,254,809","1,639,677"
East of England,"3,386,922","1,657,818"
London,"4,965,291","2,538,905"
South East,"4,909,673","2,396,445"
South West,"3,265,323","1,362,150"
Scotland,"2,830,980","1,245,527"
Wales,"1,698,965","730,384"
TOTAL,"35,554,259","16,700,662"
