rgn2021+scotlandrgn_id,Economically active employment,Economically active unemployed,Economically active student employment,Economically active student unemployed,Economically inactive student,Economically inactive
North East,"1,255,748","48,308","47,804","12,685","120,370","622,636"
North West,"3,829,563","145,278","134,065","40,920","353,239","1,632,817"
Yorkshire and The Humber,"2,792,542","73,958","95,264","16,479","284,986","1,209,630"
East Midlands,"2,699,355","93,017","91,780","28,532","228,262","1,031,463"
West Midlands,"3,230,436","111,510","116,247","23,186","299,896","1,267,763"
East of England,"3,437,263","109,744","91,876","17,154","267,141","1,280,689"
London,"5,220,142","238,445","173,301","58,441","547,959","1,502,507"
South East,"5,174,170","144,746","162,102","36,528","367,011","1,652,101"
South West,"3,183,952","60,090","103,877","15,884","243,231","1,166,439"
Scotland,"2,643,857","83,078","67,140","14,555","151,673","1,131,057"
Wales,"1,528,512","43,089","55,408","8,358","147,351","703,509"
TOTAL,"34,995,540","1,151,262","1,138,865","272,722","3,011,118","13,200,610"
