rgn2021+scotlandrgn_id,HRP managerial / professional,HRP intermediate / technical,HRP semi-routine / routine,HRP never worked / long-term unemployed,"HRP no category, inc. full-time student"
North East,"682,206","551,379","526,391","220,918","62,262"
North West,"2,189,776","1,673,043","1,421,328","524,035","140,026"
Yorkshire and The Humber,"1,551,319","1,230,759","1,085,804","353,116","115,105"
East Midlands,"1,487,697","1,137,609","1,029,982","277,473","111,826"
West Midlands,"1,771,359","1,390,875","1,259,420","374,287","98,545"
East of England,"2,151,446","1,496,870","1,027,515","297,393","71,516"
London,"3,459,552","2,049,143","1,317,797","520,161","157,542"
South East,"3,407,086","2,118,213","1,279,826","371,195","129,798"
South West,"1,913,032","1,389,550","968,416","251,060","105,416"
Scotland,"1,537,135","1,157,731","950,028","353,992","77,622"
Wales,"864,578","715,697","597,039","189,805","62,232"
TOTAL,"21,015,187","14,910,867","11,463,545","3,733,434","1,131,889"
