rgn2021+scotlandrgn_id,full_time,part_time,unemployed,students
North East,"963,885","307,166","667,432","117,396"
North West,"2,952,759","822,208","1,736,471","336,663"
Yorkshire and The Humber,"2,101,010","664,870","1,247,417","272,966"
East Midlands,"1,979,647","644,969","1,087,869","215,130"
West Midlands,"2,445,787","680,372","1,313,261","280,396"
East of England,"2,602,479","744,517","1,338,627","253,700"
London,"4,074,924","994,838","1,699,480","516,329"
South East,"3,925,486","1,186,310","1,760,597","351,474"
South West,"2,321,090","789,237","1,178,735","230,261"
Scotland,"2,126,864","632,715","1,251,107","154,410"
Wales,"1,174,011","367,909","736,137","143,471"
TOTAL,"26,667,944","7,835,111","14,017,132","2,872,195"
