rgn2021+scotlandrgn_id,SOC1,SOC2,SOC3,SOC4
North East,"585,444","460,975","224,632","784,828"
North West,"1,853,427","1,278,103","643,437","2,073,134"
Yorkshire and The Humber,"1,317,231","950,948","497,702","1,520,383"
East Midlands,"1,227,297","867,389","529,929","1,302,999"
West Midlands,"1,484,987","1,021,802","619,371","1,593,657"
East of England,"1,758,256","1,080,612","508,129","1,592,327"
London,"3,063,479","1,360,012","646,271","2,215,809"
South East,"2,836,570","1,610,074","665,152","2,112,072"
South West,"1,557,778","1,078,853","473,696","1,408,995"
Scotland,"1,389,636","951,898","418,046","1,405,517"
Wales,"718,295","569,045","254,580","879,608"
TOTAL,"17,792,399","11,229,712","5,480,945","16,889,327"
