rgn2021+scotlandrgn_id,Economically active employed,Economically active unemployed,Economically inactive
North East,"1,278,887","59,815","729,230"
North West,"3,888,329","182,658","1,949,456"
Yorkshire and The Humber,"2,832,976","88,741","1,467,016"
East Midlands,"2,737,831","119,234","1,236,749"
West Midlands,"3,283,009","132,058","1,538,923"
East of England,"3,462,046","124,451","1,519,486"
London,"5,290,897","291,300","2,013,044"
South East,"5,235,109","177,710","1,982,037"
South West,"3,225,328","74,535","1,383,805"
Scotland,"2,689,379","96,853","1,272,590"
Wales,"1,554,926","50,483","835,608"
TOTAL,"35,478,716","1,397,839","15,927,943"
