TOID,geometry_rsls,rslsLength,geometry_vms
osgb1000000254165880,"LINESTRING (384622.1 393004.65, 384623.5 393006.7604477612)",2.5325855864707156,"MULTIPOLYGON (((384632 393004, 384632 393006, 384632.5 393006, 384632.5 393005.5, 384633 393005.5, 384633 393005, 384633.5 393005, 384633.5 393004.5, 384633 393004.5, 384633 393004, 384632.5 393004, 384632.5 393003, 384632 393003, 384632 393002.5, 384631.5 393002.5, 384631.5 393001.5, 384631 393001.5, 384631 393001, 384630.5 393001, 384630.5 393000, 384627.5 393000, 384627.5 393000.5, 384628 393000.5, 384628 393001, 384628.5 393001, 384628.5 393001.5, 384629 393001.5, 384629 393002, 384629.5 393002, 384629.5 393003, 384629 393003, 384629 393004, 384632 393004)), ((384628 393004, 384628 393003.5, 384627 393003.5, 384627 393004, 384625.5 393004, 384625.5 393002, 384624.5 393002, 384624.5 393002.5, 384624 393002.5, 384624 393003, 384623.5 393003, 384623.5 393003.5, 384622.5 393003.5, 384622.5 393004, 384622 393004, 384622 393005.5, 384622.5 393005.5, 384622.5 393006.5, 384623 393006.5, 384623 393007, 384623.5 393007, 384623.5 393006.5, 384624.5 393006.5, 384624.5 393006, 384626 393006, 384626 393005.5, 384626.5 393005.5, 384626.5 393005, 384627.5 393005, 384627.5 393004.5, 384628 393004.5, 384628 393005, 384628.5 393005, 384628.5 393004.5, 384629 393004.5, 384629 393004, 384628 393004)))"
osgb1000000254166184,"LINESTRING (384803.25 393005.86, 384805.32 393010.02)",4.646557865807776,"POLYGON ((384805 393010.5, 384805 393009.5, 384804.5 393009.5, 384804.5 393008.5, 384804 393008.5, 384804 393007.5, 384803.5 393007.5, 384803.5 393006.5, 384803 393006.5, 384803 393005.5, 384803.5 393005.5, 384803.5 393005, 384805 393005, 384805 393004.5, 384806 393004.5, 384806 393005, 384806.5 393005, 384806.5 393006, 384807 393006, 384807 393007, 384807.5 393007, 384807.5 393008, 384808 393008, 384808 393009, 384807.5 393009, 384807.5 393009.5, 384806.5 393009.5, 384806.5 393010, 384805.5 393010, 384805.5 393010.5, 384805 393010.5))"
osgb1000000254166360,"LINESTRING (384577 393034.75033112586, 384581.9 393031.7)",5.771873177536243,"MULTIPOLYGON (((384572 393032, 384573 393032, 384573 393033, 384573.5 393033, 384573.5 393032.5, 384575 393032.5, 384575 393032, 384576.5 393032, 384576.5 393033.5, 384577 393033.5, 384577 393035, 384577.5 393035, 384577.5 393034.5, 384578.5 393034.5, 384578.5 393034, 384579.5 393034, 384579.5 393033.5, 384580 393033.5, 384580 393033, 384581 393033, 384581 393032.5, 384581.5 393032.5, 384581.5 393032, 384582 393032, 384582 393031, 384581.5 393031, 384581.5 393030, 384581 393030, 384581 393029, 384580.5 393029, 384580.5 393028.5, 384580 393028.5, 384580 393027.5, 384579.5 393027.5, 384579.5 393027, 384579 393027, 384579 393026, 384577.5 393026, 384577.5 393026.5, 384577 393026.5, 384577 393027, 384576 393027, 384576 393027.5, 384575.5 393027.5, 384575.5 393028, 384574.5 393028, 384574.5 393028.5, 384573.5 393028.5, 384573.5 393029, 384573 393029, 384573 393029.5, 384572.5 393029.5, 384572.5 393028.5, 384572 393028.5, 384572 393027.5, 384570.5 393027.5, 384570.5 393028, 384570 393028, 384570 393028.5, 384569.5 393028.5, 384569.5 393029.5, 384570 393029.5, 384570 393030.5, 384570.5 393030.5, 384570.5 393031, 384571 393031, 384571 393032, 384571.5 393032, 384571.5 393033, 384572 393033, 384572 393032)), ((384572 393033.5, 384572.5 393033.5, 384572.5 393033, 384572 393033, 384572 393033.5)))"
osgb1000000254166361,"LINESTRING (384581.9 393031.7, 384587.7863636364 393028)",6.9526453137971655,"MULTIPOLYGON (((384583 393020, 384582.5 393020, 384582.5 393021, 384583 393021, 384583 393020)), ((384583 393022, 384583.5 393022, 384583.5 393022.5, 384583 393022.5, 384583 393023, 384582.5 393023, 384582.5 393023.5, 384581.5 393023.5, 384581.5 393024, 384581 393024, 384581 393024.5, 384580 393024.5, 384580 393025, 384579.5 393025, 384579.5 393025.5, 384578.5 393025.5, 384578.5 393026, 384578 393026, 384578 393026.5, 384578.5 393026.5, 384578.5 393027.5, 384579 393027.5, 384579 393028, 384579.5 393028, 384579.5 393029, 384580 393029, 384580 393029.5, 384580.5 393029.5, 384580.5 393030.5, 384581 393030.5, 384581 393031.5, 384581.5 393031.5, 384581.5 393032, 384582.5 393032, 384582.5 393031.5, 384583.5 393031.5, 384583.5 393031, 384584 393031, 384584 393030.5, 384585 393030.5, 384585 393030, 384585.5 393030, 384585.5 393029.5, 384586.5 393029.5, 384586.5 393029, 384587 393029, 384587 393028.5, 384588 393028.5, 384588 393028, 384587 393028, 384587 393027.5, 384586.5 393027.5, 384586.5 393026.5, 384586 393026.5, 384586 393026, 384585.5 393026, 384585.5 393024, 384585 393024, 384585 393023, 384584.5 393023, 384584.5 393022, 384585 393022, 384585 393021.5, 384585.5 393021.5, 384585.5 393021, 384585 393021, 384585 393020, 384584.5 393020, 384584.5 393019.5, 384584 393019.5, 384584 393021, 384584.5 393021, 384584.5 393021.5, 384583.5 393021.5, 384583.5 393021, 384583 393021, 384583 393022)))"
osgb1000000254166377,"LINESTRING (384590.5 393026.3153846154, 384594.5 393023.8538461539)",4.696719237665457,"MULTIPOLYGON (((384595 393022, 384594.5 393022, 384594.5 393021, 384594 393021, 384594 393020, 384592.5 393020, 384592.5 393019, 384593 393019, 384593 393018.5, 384593.5 393018.5, 384593.5 393018, 384593 393018, 384593 393017, 384592 393017, 384592 393017.5, 384591.5 393017.5, 384591.5 393018, 384590.5 393018, 384590.5 393018.5, 384589.5 393018.5, 384589.5 393019, 384589 393019, 384589 393019.5, 384588 393019.5, 384588 393020, 384587 393020, 384587 393019.5, 384586.5 393019.5, 384586.5 393018.5, 384585 393018.5, 384585 393019, 384584 393019, 384584 393020.5, 384584.5 393020.5, 384584.5 393021.5, 384586 393021.5, 384586 393022, 384586.5 393022, 384586.5 393022.5, 384587 393022.5, 384587 393023, 384587.5 393023, 384587.5 393024, 384588 393024, 384588 393025, 384588.5 393025, 384588.5 393025.5, 384589 393025.5, 384589 393026, 384590.5 393026, 384590.5 393026.5, 384591.5 393026.5, 384591.5 393026, 384592 393026, 384592 393025.5, 384593 393025.5, 384593 393025, 384593.5 393025, 384593.5 393024.5, 384594.5 393024.5, 384594.5 393023.5, 384595 393023.5, 384595 393022)), ((384595.5 393023.5, 384595 393023.5, 384595 393024, 384595.5 393024, 384595.5 393023.5)))"
osgb1000000254166420,"LINESTRING (384596.5 393022.61714285717, 384600.66363636364 393020)",4.917855681434329,"MULTIPOLYGON (((384598.5 393014, 384598.5 393013, 384598 393013, 384598 393011, 384597 393011, 384597 393011.5, 384596.5 393011.5, 384596.5 393012, 384597 393012, 384597 393013, 384597.5 393013, 384597.5 393014, 384598.5 393014)), ((384597 393022.5, 384597.5 393022.5, 384597.5 393022, 384598.5 393022, 384598.5 393021.5, 384599.5 393021.5, 384599.5 393021, 384600 393021, 384600 393020.5, 384601 393020.5, 384601 393020, 384600 393020, 384600 393019.5, 384599.5 393019.5, 384599.5 393016, 384599 393016, 384599 393015.5, 384597.5 393015.5, 384597.5 393014, 384597 393014, 384597 393014.5, 384596 393014.5, 384596 393015, 384595.5 393015, 384595.5 393015.5, 384594.5 393015.5, 384594.5 393016, 384593.5 393016, 384593.5 393016.5, 384593 393016.5, 384593 393017, 384592.5 393017, 384592.5 393018.5, 384593.5 393018.5, 384593.5 393018, 384594 393018, 384594 393018.5, 384595 393018.5, 384595 393019, 384596 393019, 384596 393021, 384596.5 393021, 384596.5 393023, 384597 393023, 384597 393022.5)))"
osgb1000000254189918,"LINESTRING (384783 393739.1620192308, 384780.27156862745 393740.5)",3.0388369968713547,"MULTIPOLYGON (((384785 393739, 384785 393738.5, 384783 393738.5, 384783 393739, 384785 393739)), ((384776 393742.5, 384775 393742.5, 384775 393743, 384776 393743, 384776 393742.5)), ((384776.5 393747.5, 384777.5 393747.5, 384777.5 393747, 384778.5 393747, 384778.5 393746.5, 384779.5 393746.5, 384779.5 393746, 384780.5 393746, 384780.5 393745.5, 384781.5 393745.5, 384781.5 393745, 384782.5 393745, 384782.5 393744.5, 384783.5 393744.5, 384783.5 393744, 384784.5 393744, 384784.5 393745, 384785 393745, 384785 393746, 384785.5 393746, 384785.5 393747, 384786 393747, 384786 393748, 384786.5 393748, 384786.5 393747.5, 384787 393747.5, 384787 393746, 384786.5 393746, 384786.5 393745, 384786 393745, 384786 393743, 384787 393743, 384787 393742.5, 384786.5 393742.5, 384786.5 393741.5, 384786 393741.5, 384786 393740.5, 384785.5 393740.5, 384785.5 393740, 384785 393740, 384785 393740.5, 384784.5 393740.5, 384784.5 393741, 384784 393741, 384784 393740, 384783 393740, 384783 393739, 384782 393739, 384782 393739.5, 384781 393739.5, 384781 393740, 384780 393740, 384780 393740.5, 384780.5 393740.5, 384780.5 393741.5, 384780 393741.5, 384780 393742, 384779.5 393742, 384779.5 393742.5, 384779 393742.5, 384779 393743, 384778.5 393743, 384778.5 393743.5, 384777.5 393743.5, 384777.5 393744, 384776 393744, 384776 393745, 384775.5 393745, 384775.5 393745.5, 384776 393745.5, 384776 393746, 384775.5 393746, 384775.5 393747.5, 384776 393747.5, 384776 393748, 384776.5 393748, 384776.5 393747.5)))"
osgb1000000254189927,"LINESTRING (384839.18701298704 393935.5, 384839.2 393935, 384839.4 393930.5, 384839.4 393930.2)",5.30461088587952,"MULTIPOLYGON (((384835 393939, 384835 393934, 384839 393934, 384839 393935.5, 384839.5 393935.5, 384839.5 393930, 384830 393930, 384830 393932.5, 384833.5 393932.5, 384833.5 393934.5, 384833 393934.5, 384833 393939, 384835 393939)), ((384839.5 393936, 384839 393936, 384839 393937, 384839.5 393937, 384839.5 393936)), ((384839.5 393938.5, 384839 393938.5, 384839 393939, 384839.5 393939, 384839.5 393938.5)))"
osgb1000000254189928,"LINESTRING (384893.6 393812, 384893.45 393812, 384885.6 393811.6)",8.010184476207789,"POLYGON ((384893.5 393820, 384893 393820, 384893 393818.5, 384892 393818.5, 384892 393820, 384891.5 393820, 384891.5 393818, 384891 393818, 384891 393817, 384891.5 393817, 384891.5 393816.5, 384892 393816.5, 384892 393815.5, 384892.5 393815.5, 384892.5 393815, 384893 393815, 384893 393813, 384894 393813, 384894 393811.5, 384885.5 393811.5, 384885.5 393812, 384887.5 393812, 384887.5 393813.5, 384886 393813.5, 384886 393814, 384885.5 393814, 384885.5 393815.5, 384885 393815.5, 384885 393817, 384890.5 393817, 384890.5 393821, 384893.5 393821, 384893.5 393820))"
osgb1000000254189932,"LINESTRING (384556.66 393687.43, 384564.15 393683.75)",8.345208205951547,"POLYGON ((384558 393687.5, 384558 393687, 384559 393687, 384559 393686.5, 384560 393686.5, 384560 393686, 384561 393686, 384561 393685.5, 384562 393685.5, 384562 393685, 384563 393685, 384563 393684.5, 384564 393684.5, 384564 393684, 384564.5 393684, 384564.5 393683, 384564 393683, 384564 393682.5, 384563.5 393682.5, 384563.5 393682, 384563 393682, 384563 393681.5, 384562.5 393681.5, 384562.5 393680.5, 384563 393680.5, 384563 393680, 384562.5 393680, 384562.5 393679, 384561 393679, 384561 393679.5, 384560 393679.5, 384560 393680, 384559 393680, 384559 393680.5, 384558 393680.5, 384558 393681, 384556.5 393681, 384556.5 393680, 384556 393680, 384556 393679, 384555.5 393679, 384555.5 393678, 384554 393678, 384554 393678.5, 384553 393678.5, 384553 393679, 384552.5 393679, 384552.5 393680, 384553 393680, 384553 393681, 384553.5 393681, 384553.5 393682, 384554 393682, 384554 393683, 384554.5 393683, 384554.5 393684, 384555 393684, 384555 393685, 384555.5 393685, 384555.5 393686.5, 384556 393686.5, 384556 393687.5, 384558 393687.5))"
osgb1000000254189933,"LINESTRING (384886.35 393708, 384882.9 393701.05)",7.759188101846772,"POLYGON ((384881 393710.5, 384881 393709.5, 384880.5 393709.5, 384880.5 393708.5, 384880 393708.5, 384880 393707.5, 384879.5 393707.5, 384879.5 393706.5, 384879 393706.5, 384879 393706, 384878 393706, 384878 393706.5, 384877 393706.5, 384877 393707, 384875.5 393707, 384875.5 393706.5, 384875 393706.5, 384875 393705.5, 384874.5 393705.5, 384874.5 393704.5, 384875.5 393704.5, 384875.5 393704, 384876.5 393704, 384876.5 393703.5, 384877.5 393703.5, 384877.5 393703, 384878.5 393703, 384878.5 393702.5, 384879.5 393702.5, 384879.5 393702, 384880.5 393702, 384880.5 393701.5, 384881.5 393701.5, 384881.5 393701, 384883.5 393701, 384883.5 393702, 384884 393702, 384884 393703, 384884.5 393703, 384884.5 393704, 384885 393704, 384885 393705, 384885.5 393705, 384885.5 393706, 384886 393706, 384886 393707, 384886.5 393707, 384886.5 393708.5, 384885.5 393708.5, 384885.5 393709, 384884.5 393709, 384884.5 393709.5, 384883.5 393709.5, 384883.5 393710, 384882.5 393710, 384882.5 393710.5, 384881 393710.5))"
