TOID,geometry,prop_of_rec
osgb1000000254165880,"POLYGON ((384627 393003.5, 384627 393004, 384625.5 393004, 384625.5 393002.3945544555, 384622 393004.71633663366, 384622 393005.5, 384622.5 393005.5, 384622.5 393006.5, 384623 393006.5, 384623 393006.9330251931, 384623.5 393006.60134202475, 384623.5 393006.5, 384623.65276932094 393006.5, 384627.4266311416 393003.99654710904, 384627.0972385049 393003.5, 384627 393003.5))",0.8822746267417585
osgb1000000254165880,"POLYGON ((384627 393003.5, 384627 393004, 384625.5 393004, 384625.5 393002.47410732356, 384622 393004.79588950187, 384622 393005.5, 384622.5 393005.5, 384622.5 393006.5, 384623 393006.5, 384623 393007, 384623.0189609582 393007, 384623.5 393006.680894893, 384623.5 393006.5, 384623.7726923014 393006.5, 384624.5 393006.01752855635, 384624.5 393006, 384624.5264236447 393006, 384627.46327744925 393004.05179005035, 384627.09723850497 393003.5, 384627 393003.5))",0.887300637881557
osgb1000000254165880,"POLYGON ((384627 393003.5, 384627 393004, 384625.5 393004, 384625.5 393002.5536601919, 384622 393004.87544237013, 384622 393005.5, 384622.5 393005.5, 384622.5 393006.5, 384623 393006.5, 384623 393007, 384623.13888393855 393007, 384623.5 393006.7604477612, 384623.5 393006.5, 384623.89261528186 393006.5, 384624.5 393006.0970814246, 384624.5 393006, 384624.6463466251 393006, 384627.4999237569 393004.1070329918, 384627.09723850497 393003.5, 384627 393003.5))",0.890640471877195
osgb1000000254166184,"POLYGON ((384807 393006, 384806.5 393006, 384806.5 393005, 384806 393005, 384806 393004.5, 384805.9831400966 393004.5, 384805 393004.98920673074, 384805 393005, 384804.9783091787 393005, 384803 393005.9843990384, 384803 393006.5, 384803.5 393006.5, 384803.5 393007.5, 384804 393007.5, 384804 393008.1675093456, 384807 393006.6747208841, 384807 393006))",0.6987103421662159
osgb1000000254166184,"POLYGON ((384807.5 393007, 384807 393007, 384807 393006, 384806.5 393006, 384806.5 393005.4974712886, 384803.5 393006.9902597502, 384803.5 393007.5, 384804 393007.5, 384804 393008.5, 384804.5 393008.5, 384804.5 393009.1733700575, 384807.5 393007.68058159587, 384807.5 393007))",0.6987266425160973
osgb1000000254166184,"POLYGON ((384808 393008, 384807.5 393008, 384807.5 393007, 384807 393007, 384807 393006.5033320005, 384804 393007.9961204621, 384804 393008.5, 384804.5 393008.5, 384804.5 393009.5, 384805 393009.5, 384805 393010.1792307692, 384808 393008.6864423077, 384808 393008))",0.6987266424933599
osgb1000000254166360,"POLYGON ((384576.5 393032, 384576.5 393033.5, 384577 393033.5, 384577 393034.75033112586, 384577.15542300773 393035, 384577.5 393035, 384577.5 393034.5, 384578.5 393034.5, 384578.5 393034, 384579.35994637513 393034, 384576.500753167 393029.4070406977, 384574.46328636236 393030.6753975165, 384575.28787333885 393032, 384576.5 393032))",0.932552888883148
osgb1000000254166360,"POLYGON ((384579.5 393034, 384579.5 393033.5, 384580 393033.5, 384580 393033, 384580.72335067106 393033, 384577.9320197648 393028.5160535441, 384575.89455296006 393029.78441036295, 384578.5188273036 393034, 384579.5 393034))",1.0786353245644889
osgb1000000254166360,"POLYGON ((384580 393033, 384581 393033, 384581 393032.5, 384581.5 393032.5, 384581.5 393032, 384582 393032, 384582 393031.86063829786, 384579.3632863624 393027.62506639067, 384577.3258195577 393028.8934232095, 384580 393033.18918115395, 384580 393033))",1.0641827773033075
osgb1000000254166361,"POLYGON ((384582.5 393032, 384582.5 393031.5, 384583.5 393031.5, 384583.5 393031, 384584 393031, 384584 393030.5310851036, 384581.377504301 393026.3589328553, 384579.34557658294 393027.63614456385, 384582.0885714286 393032, 384582.5 393032))",1.0852927024001178
osgb1000000254166361,"POLYGON ((384584 393030.5, 384585 393030.5, 384585 393030, 384585.5 393030, 384585.5 393029.5, 384586.0405550714 393029.5, 384583.30472226016 393025.14753870957, 384581.2727945421 393026.4247504181, 384584 393030.76348637376, 384584 393030.5))",1.0659343533683598
osgb1000000254166361,"POLYGON ((384586.5 393029.5, 384586.5 393029, 384587 393029, 384587 393028.5, 384588 393028.5, 384588 393028.339876033, 384587.7863636364 393028, 384587 393028, 384587 393027.5, 384586.5 393027.5, 384586.5 393026.5, 384586 393026.5, 384586 393026, 384585.5 393026, 384585.5 393024.36260330584, 384585.272077922 393024, 384585.1303520254 393024, 384583.2000125012 393025.2133562724, 384585.8944742729 393029.5, 384586.5 393029.5))",0.8790026078777186
osgb1000000254166377,"POLYGON ((384590.5 393026, 384590.5 393026.3153846154, 384590.61360946746 393026.5, 384591.5 393026.5, 384591.5 393026, 384592 393026, 384592 393025.5, 384592.81625639467 393025.5, 384590.0283123169 393020.96959087363, 384587.98433235683 393022.2274246952, 384590.30591715977 393026, 384590.5 393026))",1.0770838190922156
osgb1000000254166377,"POLYGON ((384592 393026, 384592 393025.5, 384593 393025.5, 384593 393025, 384593.5 393025, 384593.5 393024.5, 384593.5492524577 393024.5, 384591.00632233697 393020.3677385536, 384588.9623423768 393021.6255723752, 384591.6542978381 393026, 384592 393026))",1.0706073212732017
